60;"fl.controls.Button"
59;"Logo_NoPlay"
49;"LoaderScreen"
0;"Main"
2082;"BH"
1890;"Cutscene"
1889;"MBFZ_fla.credits_141"
1851;"MBFZ_fla.Finalcutscene_140"
1840;"MBFZ_fla.Slowtinttoblack_139"
1837;"MBFZ_fla.CS_Boss_138"
1828;"MBFZ_fla.pan_137"
1824;"MBFZ_fla.splosione_135"
1819;"MBFZ_fla.eyes_133"
1816;"MBFZ_fla.handscopy_131"
1811;"MBFZ_fla.LightFlashcopy_130"
1806;"MBFZ_fla.shotdoodes_128"
1794;"MBFZ_fla.cutscene34_121"
1768;"MBFZ_fla.CS_Textselection_120"
1753;"MBFZ_fla.chute_end_119"
1751;"MBFZ_fla.ringexpand_118"
1747;"MBFZ_fla.parachute_guy_117"
1745;"MBFZ_fla.manonmissile_116"
1732;"MBFZ_fla.Dudelegs_112"
1726;"MBFZ_fla.jump_110"
1722;"MBFZ_fla.plane_close_108"
1719;"MBFZ_fla.missile_106"
1715;"MBFZ_fla.guyplane_105"
1713;"MBFZ_fla.rocket2_104"
1711;"MBFZ_fla.planes_103"
1708;"MBFZ_fla.guy_102"
1704;"MBFZ_fla.rocket_100"
1699;"MBFZ_fla.realization_97"
1692;"MBFZ_fla.island_xplode_96"
1689;"MBFZ_fla.CameraTurnon_95"
1662;"MBFZ_fla.cellcopy_88"
1659;"MBFZ_fla.LightSlow_87"
1657;"MBFZ_fla.cell_86"
1649;"MBFZ_fla.island_xplodeSmall_84"
1646;"MBFZ_fla.chute_man_83"
1644;"MBFZ_fla.planesmoke_81"
1638;"MBFZ_fla.Symbol3_80"
1618;"MBFZ_fla.plane_73"
1612;"MBFZ_fla.Symbol1_71"
1608;"MBFZ_fla.CS_hand_68"
1601;"MBFZ_fla.Symbol1oi_66"
1596;"MBFZ_fla.LightFlash_65"
1593;"MBFZ_fla.side_64"
1591;"MBFZ_fla.splosion_62"
1573;"MBFZ_fla.location_60"
1570;"fl.controls.Slider"
1569;"SliderTrack_disabledSkin"
1567;"SliderTick_skin"
